age,workclass,fnlgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
25,Private,256263,Assoc_acdm,12,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,<=50K
40,Private,220609,Some_college,10,Divorced,Exec_managerial,Not_in_family,White,Female,0,0,40,United_States,<=50K
31,State_gov,557853,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Male,0,0,47,United_States,<=50K
35,Private,30565,HS_grad,9,Married_AF_spouse,Other_service,Wife,White,Female,0,0,40,United_States,>50K
31,Private,214235,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,0,0,65,United_States,<=50K
38,Private,35429,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,2042,40,United_States,<=50K
31,Private,35378,Some_college,10,Divorced,Adm_clerical,Not_in_family,White,Female,0,0,45,United_States,<=50K
54,Private,257869,Some_college,10,Separated,Other_service,Not_in_family,White,Male,0,0,28,Columbia,<=50K
18,Private,169745,7th_8th,4,Never_married,Other_service,Own_child,White,Female,0,0,40,United_States,<=50K
42,Private,118212,9th,5,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,40,United_States,<=50K
35,Self_emp_not_inc,241469,9th,5,Married_civ_spouse,Craft_repair,Husband,White,Male,2635,0,30,United_States,<=50K
45,Self_emp_not_inc,246891,Masters,14,Divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,<=50K
45,Private,99385,HS_grad,9,Divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,Canada,<=50K
27,State_gov,176727,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Male,0,0,40,United_States,<=50K
39,Private,110426,Assoc_acdm,12,Married_civ_spouse,Exec_managerial,Wife,White,Female,15024,0,45,United_States,>50K
58,Private,372181,HS_grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United_States,>50K
44,Federal_gov,399155,HS_grad,9,Never_married,Craft_repair,Own_child,Black,Female,0,0,40,United_States,<=50K
27,Local_gov,134813,Masters,14,Never_married,Prof_specialty,Own_child,White,Male,0,0,52,United_States,<=50K
58,Private,187067,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,62,Canada,<=50K
25,Private,178037,Some_college,10,Never_married,Adm_clerical,Own_child,White,Male,0,0,35,United_States,<=50K
33,Private,198069,HS_grad,9,Never_married,Machine_op_inspct,Not_in_family,White,Male,0,0,65,United_States,<=50K
24,Private,585203,Bachelors,13,Married_civ_spouse,Exec_managerial,Wife,White,Female,7688,0,45,United_States,>50K
63,Private,106023,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,>50K
35,Private,61518,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,35,United_States,<=50K
26,Self_emp_not_inc,189238,Some_college,10,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,4,Mexico,<=50K
46,Private,31432,HS_grad,9,Married_civ_spouse,Adm_clerical,Wife,White,Female,3103,0,52,United_States,>50K
42,Private,240255,Assoc_voc,11,Married_civ_spouse,Prof_specialty,Husband,Black,Male,0,0,40,United_States,>50K
31,Private,83446,HS_grad,9,Widowed,Craft_repair,Unmarried,White,Female,0,0,40,United_States,<=50K
23,Private,595461,7th_8th,4,Never_married,Craft_repair,Not_in_family,White,Male,0,0,40,Mexico,<=50K
49,Private,166809,Bachelors,13,Divorced,Exec_managerial,Unmarried,White,Female,0,0,40,United_States,>50K
42,Local_gov,201495,Some_college,10,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,72,United_States,>50K
28,Private,184078,HS_grad,9,Divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,<=50K
42,Private,165599,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,0,40,United_States,>50K
25,Private,193051,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,35,United_States,<=50K
68,Private,73773,HS_grad,9,Widowed,Sales,Not_in_family,White,Female,0,0,24,United_States,<=50K
30,Private,101345,Bachelors,13,Married_civ_spouse,Sales,Wife,White,Female,3103,0,55,United_States,>50K
55,Self_emp_not_inc,59469,9th,5,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,25,United_States,<=50K
23,Private,352207,Assoc_voc,11,Never_married,Other_service,Own_child,White,Male,0,0,20,United_States,<=50K
37,Local_gov,257588,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,0,0,40,United_States,<=50K
48,Self_emp_not_inc,328606,Prof_school,15,Divorced,Prof_specialty,Unmarried,White,Male,14084,0,63,United_States,>50K
19,Private,355477,HS_grad,9,Never_married,Other_service,Own_child,Black,Male,0,0,25,United_States,<=50K
32,Self_emp_not_inc,56026,Bachelors,13,Married_civ_spouse,Sales,Other_relative,White,Male,0,0,45,United_States,<=50K
30,Self_emp_not_inc,113838,Assoc_voc,11,Married_civ_spouse,Sales,Husband,White,Male,3137,0,60,Germany,<=50K
21,Private,143062,Some_college,10,Never_married,Other_service,Own_child,White,Male,0,0,32,United_States,<=50K
35,Private,170263,HS_grad,9,Divorced,Exec_managerial,Unmarried,White,Female,0,0,40,United_States,<=50K
33,Private,275369,7th_8th,4,Separated,Handlers_cleaners,Not_in_family,Black,Male,0,0,35,Haiti,<=50K
64,State_gov,194894,Doctorate,16,Never_married,Prof_specialty,Not_in_family,White,Female,4787,0,40,United_States,>50K
28,Self_emp_inc,201186,HS_grad,9,Married_civ_spouse,Sales,Husband,Black,Male,99999,0,40,United_States,>50K
26,Private,98155,HS_grad,9,Married_AF_spouse,Sales,Husband,White,Male,0,0,55,United_States,<=50K
29,Federal_gov,184723,Some_college,10,Never_married,Other_service,Not_in_family,White,Female,0,0,40,United_States,>50K
46,Private,192779,Bachelors,13,Never_married,Sales,Not_in_family,White,Male,0,0,45,United_States,>50K
45,Federal_gov,359808,Assoc_acdm,12,Never_married,Exec_managerial,Not_in_family,White,Male,0,0,40,United_States,<=50K
23,Private,291248,HS_grad,9,Never_married,Machine_op_inspct,Other_relative,Black,Male,0,0,40,United_States,<=50K
35,Private,265662,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,>50K
22,Private,374116,HS_grad,9,Never_married,Priv_house_serv,Own_child,White,Female,0,0,36,United_States,<=50K
21,Private,145389,Some_college,10,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,25,United_States,<=50K
21,Private,47541,HS_grad,9,Divorced,Machine_op_inspct,Other_relative,White,Male,0,0,40,United_States,<=50K
28,Private,183151,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,50,United_States,<=50K
28,Local_gov,210945,Bachelors,13,Never_married,Prof_specialty,Not_in_family,Black,Female,0,0,60,United_States,<=50K
23,Private,419394,Some_college,10,Never_married,Sales,Own_child,Black,Male,0,0,9,United_States,<=50K
48,Private,204990,HS_grad,9,Never_married,Tech_support,Unmarried,Black,Female,0,0,33,Jamaica,<=50K
28,Self_emp_not_inc,214689,11th,7,Never_married,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,<=50K
28,Self_emp_not_inc,204984,Bachelors,13,Never_married,Tech_support,Not_in_family,White,Male,0,0,45,United_States,<=50K
34,Private,376979,9th,5,Never_married,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,<=50K
32,Private,174704,11th,7,Never_married,Other_service,Not_in_family,Black,Male,0,0,40,United_States,<=50K
64,Local_gov,158412,HS_grad,9,Widowed,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,<=50K
41,Self_emp_not_inc,134130,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,60,United_States,<=50K
22,Private,197838,Bachelors,13,Never_married,Exec_managerial,Not_in_family,White,Male,0,0,40,United_States,<=50K
30,Private,158420,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Male,0,0,50,Iran,<=50K
23,Local_gov,220912,Bachelors,13,Never_married,Prof_specialty,Not_in_family,Black,Female,0,0,40,United_States,<=50K
66,Private,214469,HS_grad,9,Widowed,Adm_clerical,Not_in_family,White,Female,0,0,13,United_States,<=50K
33,Private,351810,Bachelors,13,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,45,Mexico,<=50K
44,Private,203761,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,45,United_States,>50K
30,State_gov,112139,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,<=50K
47,Private,114459,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,>50K
55,Private,151474,Bachelors,13,Never_married,Tech_support,Other_relative,White,Female,0,1590,38,United_States,<=50K
50,Private,163002,HS_grad,9,Separated,Adm_clerical,Other_relative,White,Female,0,0,40,United_States,<=50K
30,Self_emp_not_inc,196342,Some_college,10,Never_married,Sales,Own_child,White,Male,0,0,25,United_States,<=50K
28,Private,215955,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,3103,0,40,United_States,>50K
53,Private,22154,Some_college,10,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,<=50K
64,Self_emp_not_inc,103643,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,15,United_States,>50K
28,Private,162404,Bachelors,13,Never_married,Craft_repair,Not_in_family,Black,Male,0,0,60,United_States,<=50K
39,Private,86143,5th_6th,3,Married_civ_spouse,Other_service,Husband,Asian_Pac_Islander,Male,0,0,40,Philippines,<=50K
53,Private,229465,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,55,United_States,>50K
46,Private,180505,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,Black,Male,0,0,40,United_States,<=50K
19,Private,92863,HS_grad,9,Never_married,Sales,Own_child,White,Male,0,0,20,United_States,<=50K
50,Private,140516,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,>50K
30,Self_emp_inc,178383,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Black,Male,0,0,70,United_States,<=50K
29,Private,186624,HS_grad,9,Married_civ_spouse,Other_service,Wife,White,Female,0,0,40,Cuba,<=50K
25,Private,352057,HS_grad,9,Never_married,Transport_moving,Not_in_family,White,Male,0,0,65,United_States,<=50K
22,Private,234474,Some_college,10,Never_married,Adm_clerical,Own_child,Black,Female,0,0,25,United_States,<=50K
43,Private,26915,Assoc_voc,11,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,45,United_States,>50K
35,Private,330664,Some_college,10,Never_married,Sales,Not_in_family,White,Male,0,0,40,United_States,<=50K
22,Private,188950,Some_college,10,Never_married,Tech_support,Own_child,White,Male,0,0,40,United_States,<=50K
42,Private,121718,Some_college,10,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,40,Germany,<=50K
47,Private,72880,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,40,United_States,<=50K
28,Private,181659,11th,7,Never_married,Transport_moving,Own_child,White,Male,0,0,50,United_States,<=50K
49,Private,97411,7th_8th,4,Never_married,Machine_op_inspct,Not_in_family,Asian_Pac_Islander,Male,0,0,45,Laos,<=50K
26,Private,137658,Bachelors,13,Never_married,Exec_managerial,Not_in_family,White,Female,0,0,45,United_States,<=50K
28,Private,285294,Bachelors,13,Married_civ_spouse,Sales,Wife,Black,Female,15024,0,45,United_States,>50K
33,Private,220939,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,7298,0,45,United_States,>50K
31,Private,347166,Some_college,10,Divorced,Craft_repair,Own_child,White,Male,4650,0,40,United_States,<=50K
54,Private,140359,7th_8th,4,Divorced,Machine_op_inspct,Unmarried,White,Female,0,3900,40,United_States,<=50K
31,Private,33124,Prof_school,15,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,99,United_States,<=50K
38,Private,396595,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,United_States,>50K
40,Self_emp_not_inc,129298,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,0,0,45,United_States,<=50K
24,State_gov,155775,HS_grad,9,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,40,United_States,<=50K
59,Private,307423,9th,5,Never_married,Other_service,Not_in_family,Black,Male,0,0,50,United_States,<=50K
22,Private,36011,Assoc_voc,11,Never_married,Prof_specialty,Not_in_family,White,Male,0,0,30,United_States,<=50K
17,Private,193748,11th,7,Never_married,Sales,Own_child,White,Male,0,0,15,United_States,<=50K
20,Private,180052,Some_college,10,Never_married,Sales,Own_child,White,Male,0,0,20,United_States,<=50K
37,Private,175130,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,0,0,45,United_States,<=50K
54,Local_gov,54377,Masters,14,Divorced,Prof_specialty,Not_in_family,White,Female,0,0,40,United_States,<=50K
63,Federal_gov,97855,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,>50K
56,Private,286487,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,2885,0,45,United_States,<=50K
55,Private,206487,Some_college,10,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,>50K
43,Self_emp_not_inc,96129,11th,7,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,0,60,United_States,<=50K
70,Private,131060,7th_8th,4,Married_civ_spouse,Other_service,Husband,White,Male,0,0,25,United_States,<=50K
43,Private,118536,HS_grad,9,Divorced,Machine_op_inspct,Other_relative,Black,Male,0,0,40,United_States,<=50K
76,Local_gov,178665,9th,5,Married_civ_spouse,Other_service,Husband,White,Male,0,0,30,United_States,<=50K
47,Private,97176,Some_college,10,Divorced,Exec_managerial,Unmarried,White,Female,0,0,40,United_States,<=50K
61,Private,95929,9th,5,Divorced,Other_service,Not_in_family,White,Male,0,0,40,United_States,<=50K
37,Private,173128,HS_grad,9,Divorced,Other_service,Not_in_family,White,Male,0,0,40,United_States,<=50K
66,Self_emp_not_inc,167687,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,1409,0,50,United_States,<=50K
59,Self_emp_not_inc,119344,10th,6,Married_civ_spouse,Exec_managerial,Wife,White,Female,0,0,36,United_States,<=50K
37,Self_emp_inc,190759,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,0,0,60,United_States,>50K
29,Private,144808,Some_college,10,Married_civ_spouse,Exec_managerial,Own_child,Black,Female,0,0,40,United_States,<=50K
42,Private,220776,HS_grad,9,Separated,Handlers_cleaners,Unmarried,White,Male,0,0,40,Poland,<=50K
23,Private,233711,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,0,0,50,United_States,<=50K
28,Private,253814,HS_grad,9,Divorced,Other_service,Unmarried,White,Female,0,0,35,United_States,<=50K
43,Private,247162,Assoc_acdm,12,Never_married,Sales,Own_child,White,Male,0,0,40,United_States,<=50K
69,Private,76939,HS_grad,9,Widowed,Exec_managerial,Not_in_family,White,Female,0,0,40,United_States,<=50K
21,Private,146499,Assoc_voc,11,Married_civ_spouse,Adm_clerical,Other_relative,White,Female,0,1579,40,United_States,<=50K
46,Private,254367,HS_grad,9,Never_married,Transport_moving,Not_in_family,White,Male,0,1590,48,United_States,<=50K
23,Private,123490,11th,7,Divorced,Other_service,Unmarried,White,Female,0,0,35,United_States,<=50K
32,Private,130057,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,45,United_States,>50K
51,Private,203435,HS_grad,9,Never_married,Handlers_cleaners,Own_child,White,Female,0,0,40,United_States,<=50K
30,Private,165686,Bachelors,13,Never_married,Other_service,Not_in_family,White,Female,0,0,40,United_States,<=50K
35,Private,195516,7th_8th,4,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,40,Mexico,<=50K
30,Self_emp_inc,77689,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,7688,0,50,United_States,>50K
45,Private,102076,Some_college,10,Divorced,Prof_specialty,Unmarried,White,Female,0,0,32,United_States,<=50K
54,Self_emp_not_inc,230951,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,>50K
50,State_gov,229272,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,Black,Male,0,0,40,United_States,>50K
59,Private,157932,10th,6,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,>50K
61,Private,147280,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,60,United_States,>50K
24,Private,228613,11th,7,Never_married,Machine_op_inspct,Unmarried,White,Female,0,0,40,United_States,<=50K
36,Self_emp_not_inc,67728,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,>50K
35,Private,200426,Assoc_voc,11,Married_spouse_absent,Prof_specialty,Unmarried,White,Female,0,0,44,United_States,<=50K
30,Private,33688,HS_grad,9,Never_married,Transport_moving,Unmarried,White,Female,0,1669,70,United_States,<=50K
37,Private,126954,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,>50K
20,Private,88126,Some_college,10,Never_married,Adm_clerical,Own_child,White,Male,0,0,9,England,<=50K
44,Self_emp_not_inc,187164,HS_grad,9,Divorced,Transport_moving,Unmarried,White,Male,0,0,60,United_States,<=50K
30,Private,174543,Assoc_acdm,12,Never_married,Prof_specialty,Own_child,White,Female,0,0,40,United_States,<=50K
50,Private,183638,HS_grad,9,Widowed,Sales,Unmarried,White,Female,0,0,40,United_States,<=50K
24,Private,182504,Some_college,10,Never_married,Other_service,Own_child,White,Female,0,0,25,United_States,<=50K
55,Private,169611,11th,7,Widowed,Adm_clerical,Unmarried,White,Female,0,0,40,United_States,<=50K
29,Self_emp_inc,138597,Assoc_acdm,12,Never_married,Prof_specialty,Other_relative,Black,Female,0,0,40,United_States,<=50K
44,Private,54611,Some_college,10,Divorced,Machine_op_inspct,Not_in_family,White,Male,0,0,50,United_States,<=50K
39,Private,130620,7th_8th,4,Married_spouse_absent,Machine_op_inspct,Unmarried,Other,Female,0,0,40,Dominican_Republic,<=50K
45,Private,358701,12th,8,Never_married,Other_service,Own_child,White,Male,0,0,10,Mexico,<=50K
23,Private,107801,Bachelors,13,Never_married,Adm_clerical,Own_child,White,Female,0,0,20,United_States,<=50K
75,Private,239038,Some_college,10,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,16,United_States,<=50K
29,Private,238680,Some_college,10,Never_married,Sales,Not_in_family,Black,Male,0,0,55,Outlying_US(Guam_USVI_etc),<=50K
45,Local_gov,181758,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,40,United_States,<=50K
33,Self_emp_not_inc,295621,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,Black,Male,0,0,25,United_States,>50K
46,Private,120131,Bachelors,13,Married_civ_spouse,Other_service,Husband,White,Male,0,0,30,United_States,>50K
28,Private,65389,HS_grad,9,Never_married,Other_service,Not_in_family,Amer_Indian_Eskimo,Male,0,0,30,United_States,<=50K
25,Private,130302,HS_grad,9,Never_married,Handlers_cleaners,Unmarried,White,Male,0,0,40,United_States,<=50K
47,Local_gov,29819,Masters,14,Married_civ_spouse,Exec_managerial,Husband,Black,Male,0,1977,50,United_States,>50K
30,Self_emp_not_inc,189265,Assoc_acdm,12,Divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,<=50K
50,Private,145333,Doctorate,16,Divorced,Prof_specialty,Other_relative,White,Male,10520,0,50,United_States,>50K
25,Self_emp_not_inc,217030,HS_grad,9,Never_married,Other_service,Unmarried,White,Female,0,0,30,United_States,<=50K
23,Private,302195,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,<=50K
38,Self_emp_inc,257250,HS_grad,9,Never_married,Farming_fishing,Not_in_family,White,Male,0,0,50,United_States,<=50K
47,Local_gov,173938,Bachelors,13,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,50,United_States,>50K
63,Private,84737,7th_8th,4,Married_civ_spouse,Other_service,Husband,Asian_Pac_Islander,Male,0,0,40,South,<=50K
21,Private,190227,Some_college,10,Never_married,Adm_clerical,Own_child,White,Male,0,0,40,United_States,<=50K
28,Private,163265,9th,5,Married_civ_spouse,Sales,Husband,White,Male,4508,0,40,United_States,<=50K
29,Self_emp_not_inc,229341,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,0,0,50,United_States,>50K
70,Self_emp_inc,225780,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,20,United_States,>50K
22,Private,89991,Some_college,10,Never_married,Other_service,Own_child,White,Female,0,0,11,United_States,<=50K
28,Private,398220,5th_6th,3,Never_married,Craft_repair,Other_relative,White,Male,0,0,40,Mexico,<=50K
26,Private,303973,HS_grad,9,Never_married,Priv_house_serv,Other_relative,White,Female,0,1602,15,Mexico,<=50K
28,Private,232945,HS_grad,9,Separated,Handlers_cleaners,Not_in_family,Other,Male,0,0,30,United_States,<=50K
60,Private,27886,7th_8th,4,Divorced,Other_service,Not_in_family,White,Male,0,0,40,United_States,<=50K
21,Private,117606,Some_college,10,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,40,United_States,<=50K
20,Local_gov,235894,Some_college,10,Never_married,Farming_fishing,Own_child,White,Male,0,0,40,United_States,<=50K
52,Private,389270,Some_college,10,Married_civ_spouse,Adm_clerical,Wife,White,Female,0,0,35,United_States,>50K
39,Private,108140,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,<=50K
35,Private,341643,Bachelors,13,Never_married,Sales,Not_in_family,White,Male,0,0,55,United_States,<=50K
29,Local_gov,179681,HS_grad,9,Never_married,Transport_moving,Own_child,White,Female,0,0,37,United_States,<=50K
21,Private,122348,Some_college,10,Never_married,Tech_support,Own_child,White,Female,0,0,35,United_States,<=50K
31,Federal_gov,386331,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,Black,Male,0,0,50,United_States,<=50K
28,Private,122540,10th,6,Divorced,Handlers_cleaners,Not_in_family,White,Male,0,0,40,United_States,<=50K
24,State_gov,191269,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,65,United_States,<=50K
23,Private,104443,Some_college,10,Never_married,Adm_clerical,Own_child,White,Female,0,0,40,United_States,<=50K
68,Private,185537,Some_college,10,Divorced,Sales,Not_in_family,White,Female,0,0,20,United_States,<=50K
38,Private,159179,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,1902,50,United_States,>50K
52,Private,99307,Assoc_acdm,12,Married_civ_spouse,Sales,Husband,White,Male,3103,0,48,United_States,>50K
60,Private,165517,Some_college,10,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,0,40,United_States,<=50K
51,Private,138852,HS_grad,9,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,40,United_States,<=50K
29,Private,151382,Assoc_voc,11,Divorced,Handlers_cleaners,Unmarried,White,Male,0,0,50,United_States,<=50K
42,Federal_gov,108183,Masters,14,Married_civ_spouse,Prof_specialty,Husband,Asian_Pac_Islander,Male,0,1902,40,South,>50K
35,Private,35945,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,>50K
33,Private,157446,11th,7,Never_married,Craft_repair,Not_in_family,White,Male,0,0,65,United_States,<=50K
